code,name,market,security_type,listing_date,listing_age_calendar_days,base_status,base_reason,status,reason,avg_trading_value_20d_krw,liquidity_filter_status,liquidity_filter_reason,liquidity_rows_available,liquidity_rows_used,liquidity_latest_date,liquidity_raw_path
051905,LG생활건강우,KOSPI,구형우선주,2001/04/25,9180,exclude,instrument_type_excluded,exclude,instrument_type_excluded,,not_evaluated_preexisting_exclude,pre_liquidity_exclude,0,0,,
051910,LG화학,KOSPI,보통주,2001/04/25,9180,include,eligible_current_snapshot,exclude,liquidity_raw_missing,,data_missing,liquidity_raw_missing,0,0,,
051915,LG화학우,KOSPI,구형우선주,2001/04/25,9180,exclude,instrument_type_excluded,exclude,instrument_type_excluded,,not_evaluated_preexisting_exclude,pre_liquidity_exclude,0,0,,
051980,중앙첨단소재,KOSDAQ,보통주,2001/07/31,9083,include,eligible_current_snapshot,exclude,liquidity_raw_missing,,data_missing,liquidity_raw_missing,0,0,,
052020,에스티큐브,KOSDAQ,보통주,2001/07/05,9109,include,eligible_current_snapshot,exclude,liquidity_raw_missing,,data_missing,liquidity_raw_missing,0,0,,
052220,iMBC,KOSDAQ,보통주,2005/01/21,7813,include,eligible_current_snapshot,exclude,liquidity_raw_missing,,data_missing,liquidity_raw_missing,0,0,,
052260,현대바이오랜드,KOSDAQ,보통주,2001/05/17,9158,include,eligible_current_snapshot,exclude,liquidity_raw_missing,,data_missing,liquidity_raw_missing,0,0,,
052300,오션인더블유,KOSDAQ,보통주,2001/08/02,9081,include,eligible_current_snapshot,exclude,liquidity_raw_missing,,data_missing,liquidity_raw_missing,0,0,,
052330,코텍,KOSDAQ,보통주,2001/07/10,9104,include,eligible_current_snapshot,exclude,liquidity_raw_missing,,data_missing,liquidity_raw_missing,0,0,,
052400,코나아이,KOSDAQ GLOBAL,보통주,2001/10/18,9004,include,eligible_current_snapshot,exclude,liquidity_raw_missing,,data_missing,liquidity_raw_missing,0,0,,
052420,오성첨단소재,KOSDAQ,보통주,2001/08/07,9076,include,eligible_current_snapshot,exclude,liquidity_raw_missing,,data_missing,liquidity_raw_missing,0,0,,
052460,아이크래프트,KOSDAQ,보통주,2005/01/03,7831,include,eligible_current_snapshot,exclude,liquidity_raw_missing,,data_missing,liquidity_raw_missing,0,0,,
052600,한네트,KOSDAQ,보통주,2001/07/10,9104,include,eligible_current_snapshot,exclude,liquidity_raw_missing,,data_missing,liquidity_raw_missing,0,0,,
052690,한전기술,KOSPI,보통주,2009/12/14,6025,include,eligible_current_snapshot,exclude,liquidity_raw_missing,,data_missing,liquidity_raw_missing,0,0,,
052710,아모텍,KOSDAQ,보통주,2003/08/01,8352,include,eligible_current_snapshot,exclude,liquidity_raw_missing,,data_missing,liquidity_raw_missing,0,0,,
052770,아이톡시,KOSDAQ,보통주,2002/08/22,8696,exclude,managed_issue_current,exclude,managed_issue_current,,not_evaluated_preexisting_exclude,pre_liquidity_exclude,0,0,,
052790,액토즈소프트,KOSDAQ,보통주,2001/08/14,9069,include,eligible_current_snapshot,exclude,liquidity_raw_missing,,data_missing,liquidity_raw_missing,0,0,,
